"idCity","City","Country","LastUpdate"
251,"Kabul","Afghanistan","2006-02-15T04:45:25.000Z"
59,"Batna","Algeria","2006-02-15T04:45:25.000Z"
63,"Bchar","Algeria","2006-02-15T04:45:25.000Z"
483,"Skikda","Algeria","2006-02-15T04:45:25.000Z"
516,"Tafuna","American Samoa","2006-02-15T04:45:25.000Z"
67,"Benguela","Angola","2006-02-15T04:45:25.000Z"
360,"Namibe","Angola","2006-02-15T04:45:25.000Z"
493,"South Hill","Anguilla","2006-02-15T04:45:25.000Z"
20,"Almirante Brown","Argentina","2006-02-15T04:45:25.000Z"
43,"Avellaneda","Argentina","2006-02-15T04:45:25.000Z"
45,"Baha Blanca","Argentina","2006-02-15T04:45:25.000Z"
128,"Crdoba","Argentina","2006-02-15T04:45:25.000Z"
161,"Escobar","Argentina","2006-02-15T04:45:25.000Z"
165,"Ezeiza","Argentina","2006-02-15T04:45:25.000Z"
289,"La Plata","Argentina","2006-02-15T04:45:25.000Z"
334,"Merlo","Argentina","2006-02-15T04:45:25.000Z"
424,"Quilmes","Argentina","2006-02-15T04:45:25.000Z"
454,"San Miguel de Tucumn","Argentina","2006-02-15T04:45:25.000Z"
457,"Santa F","Argentina","2006-02-15T04:45:25.000Z"
524,"Tandil","Argentina","2006-02-15T04:45:25.000Z"
567,"Vicente Lpez","Argentina","2006-02-15T04:45:25.000Z"
586,"Yerevan","Armenia","2006-02-15T04:45:25.000Z"
576,"Woodridge","Australia","2006-02-15T04:45:25.000Z"
186,"Graz","Austria","2006-02-15T04:45:25.000Z"
307,"Linz","Austria","2006-02-15T04:45:25.000Z"
447,"Salzburg","Austria","2006-02-15T04:45:25.000Z"
48,"Baku","Azerbaijan","2006-02-15T04:45:25.000Z"
505,"Sumqayit","Azerbaijan","2006-02-15T04:45:25.000Z"
14,"al-Manama","Bahrain","2006-02-15T04:45:25.000Z"
143,"Dhaka","Bangladesh","2006-02-15T04:45:25.000Z"
234,"Jamalpur","Bangladesh","2006-02-15T04:45:25.000Z"
525,"Tangail","Bangladesh","2006-02-15T04:45:25.000Z"
339,"Mogiljov","Belarus","2006-02-15T04:45:25.000Z"
340,"Molodetno","Belarus","2006-02-15T04:45:25.000Z"
153,"El Alto","Bolivia","2006-02-15T04:45:25.000Z"
501,"Sucre","Bolivia","2006-02-15T04:45:25.000Z"
21,"Alvorada","Brazil","2006-02-15T04:45:25.000Z"
25,"Angra dos Reis","Brazil","2006-02-15T04:45:25.000Z"
26,"Anpolis","Brazil","2006-02-15T04:45:25.000Z"
28,"Aparecida de Goinia","Brazil","2006-02-15T04:45:25.000Z"
30,"Araatuba","Brazil","2006-02-15T04:45:25.000Z"
44,"Bag","Brazil","2006-02-15T04:45:25.000Z"
66,"Belm","Brazil","2006-02-15T04:45:25.000Z"
83,"Blumenau","Brazil","2006-02-15T04:45:25.000Z"
